lukas matthieu
hut chapeau
opern opéras
zivilisten civils
normalerweise normalement
ie ie
verbindungen liaisons
go go
stewart stewart
archäologe archéologue
classics classics
island island
kontrollieren contrôler
kommunisten communistes
beleuchtung éclairage
davis davis
legend legend
spitznamen surnom
beispielen exemples
medal medal
auge œil
facto facto
fantasy fantasy
connor connor
starke forte
proteste protestations
schiedsgericht arbitrage
blüte floraison
musste dut
talent talent
vorigen précédent
verlag éditions
allmusic allmusic
marsch marche
net net
sakristei sacristie
bestehenden existants
ausgehenden primitif
amtmann bailli
einführen passer
gedächtnis mémoire
schlag poing
singapur singapour
berechtigung ancienneté
wichtige important
state state
jenseits delà
sexuellen sexuels
triumph triomphe
legenden légendes
auftritte apparitions
entscheiden décider
ohren oreilles
gedichte poésies
church church
set set
fk fk
schweizer canadien
medaille médaille
vormals anciennement
williams williams
schienen rails
grammy grammy
errang remporta
dialekt dialecte
nachhaltige durable
ausgestorben éteinte
graham graham
prototypen prototypes
eingeführt introduit
sr sr
französische italienne
schicht couche
für pour
speichern stocker
haare cheveux
edgar edgar
uruguay uruguay
flucht fuite
vermutete supposé
salvador salvador
ki ki
company company
wiegt pèse
erzähler narrateur
niedrigen élevés
nf nr
urkunden chartes
neutralität neutralité
literatur littérature
petersburg pétersbourg
siedelte installa
rätsel énigme
episode épisode
angela angela
metro metro
bezahlt payé
stattfindet déroule
lied chanson
white white
nichte nièce
ix ix
tyler tyler
auferstehung résurrection
werner manfred
gefühl sentiment
besser mieux
s p
kapitalismus capitalisme
gewidmet dédié
seele âme
verlängerte prolonge
born born
aus provenant
transport transport
sonne soleil
shakespeare shakespeare
äbtissin abbesse
universität université
nacional nacional
geliefert fourni
fällen cas
umstritten controversée
leidet souffre
flüssigkeit liquide
finanziell financièrement
unbekannten inconnus
middle middle
## ##
distanz distance
benz benz
briefmarken timbres
enzyklopädie encyclopédie
bett lit
sound sound
oberbayern genevois
diskussionen discussions
rhythm rhythm
panorama panorama
haiti haïti
ab partir
under under
landsmann compatriote
brüder frères
african african
mhz mhz
dramatiker dramaturge
anbieten proposer
formen formes
ehefrau épouse
ms ms
errichtet édifié
regentschaft régence
historical historical
malcolm malcolm
still still
beziehungen relations
vikar vicaire
canadian canadian
vereinten unies
kündigte annonce
liturgie liturgie
abkürzung abréviation
ändert modifie
übersetzung traduction
herrscher souverain
rollen rôles
\\ \\
besitzungen possessions
president president
kaiserslautern bordeaux
üblicherweise habituellement
vieler des
waren étaient
vier quatre
mönche moines
woods woods
dach toit
night night
thailand thaïlande
romeo romeo
japanese japanese
york york
socks socks
classic classic
wiederaufbau reconstruction
dienstgrad grade
eigentümer propriétaire
begannen commencèrent
martha martha
joshua samuel
grundschule maternelle
nürnberger nuremberg
umbenennen renommer
vertrieben distribué
roll roll
sänger chanteur
gefängnis prison
dozent professeur
clinton clinton
montgomery montgomery
kompetenzen compétences
ljubljana ljubljana
human human
operationen opérations
ursachen causes
bob bob
wolken nuages
übersetzen traduire
egal importe
wunsch souhait
bahnhof gare
verurteilung condamnation
dort où
kg kg
back back
johnson johnson
gemalt peint
academy academy
turnier tournoi
diente servit
spielte joua
‎move करना
bombe bombe
hängt dépend
medaillen médailles
org/w/index org/w/index
anschließend ensuite
gemeinden communes
lösen résoudre
mobile mobile
kamera caméra
steigern accroître
yorkshire yorkshire
bestandteil intégrante
motoren moteurs
botschafter ambassadeur
persönliche personnel
zürich montréal
mauern murailles
alexander alexandre
detroit detroit
research research
corporation corporation
belgien belgique
too too
aids sida
titel titre
mehrheitlich majoritairement
porträt portrait
erfassung globale
beschreiben décrire
illustrationen illustrations
hass haine
vaterland patrie
platten faces
beschränkt restreint
schatz trésor
torres torres
abstimmung vote
einladung invitation
larven larves
slowakei slovaquie
bird bird
unter sous
vierzig quarante
killer killer
self self
wiki wiki
allianz alliance
horizontal horizontal
kosovo kosovo
verbieten interdire
bayerns franche
sub sub
cat cat
anschlussstelle départementale
mode mode
guardian guardian
dampf vapeur
behaupten prétendre
häufige fréquentes
absolut parfaitement
büros bureaux
weihnachten noël
arabisch arabe
schriftsteller écrivain
früheren anciens
isoliert isolé
dienst service
stockholm stockholm
war était
vorgesehenen prévus
herstellern fabricants
newport newport
schwierig difficile
richtungen directions
gerüchte rumeurs
mannschaft équipe
oblast oblast
homo homo
ag ag
flughafen aéroport
entspricht correspond
cup cup
copyright copyright
he he
koordination coordination
anzupassen adapter
beitragen contribuer
ausgeliehen prêté
drehen tourner
minute minute
blue blue
singles singles
schwert épée
abc abc
ed ed
lehren enseignements
chinesischer chinois
listen listes
verbessert amélioré
passage passage
senator sénateur
interview interview
canvas canvas
use use
dominiert dominé
malta malte
stone stone
treten apparaissent
freilich certes
at at
nachfolger successeur
kompliziert compliqué
verbleibenden restants
act act
kleinere petites
risiken risques
nie jamais
industriellen industriels
wirtschaftswissenschaftler économiste
eisenbahngesellschaft fer
hund chien
zwölf douze
kritische critique
zielen objectifs
philadelphia philadelphie
erweiterungen extensions
eingetreten entré
schreibt écrivant
katholiken catholiques
federation federation
kaiserlich impériale
künste arts
stiftung fondation
frankreich italie
montevideo montevideo
anderen autres
feldern champs
flaschen bouteilles
sf sf
ban ban
republic republic
fließt coule
festgelegten fixés
versicherung assurance
regionalen régionaux
over over
entdeckung découverte
organischen organiques
talk talk
kostüme costumes
marina marina
praxis pratique
aa aa
investitionen investissements
stars stars
papa papa
neutralen neutres
raketen missiles
teilnehmenden participants
ian ian
horst didier
äußere extérieure
beigetragen contribué
serbien serbie
verstehen comprendre
abkommen accords
buch livre
modernisierung modernisation
wochenende week
pixel pixels
erste premier
kopenhagen copenhague
society society
parade parade
sendung émission
stuttgart düsseldorf
treu fidèle
ausrüstung équipement
open open
hallo bonjour
zulässig valable
lateinamerika amériques
times times
sprache langue
getrennt séparé
berechnung calcul
kingston kingston
plan plan
gesicht visage
qualifizieren disputer
psychologe psychologue
philippinen philippines
bei à
erstreckte étendait
science science
mittelmeer méditerranée
bibliothek bibliothèque
angesehen considéré
departement département
tragödie tragédie
tempel temple
demokratische démocratique
infos infos
andrews andrews
buchhändler libraire
sonja brigitte
modul module
mercury mercury
rogers rogers
kunststoff plastique
red red
inc inc
iso iso
detmold strasbourg
änderung modification
großteil totalité
edge edge
zeigt montrant
initiative initiative
„die  la
valentin valentin
unentschieden nul
designer designer
nazis nazis
regent régent
begegnung rencontre
bagdad bagdad
aufgaben responsabilités
blues blues
model model
thompson mills
lieutenant lieutenant
teilnahme participation
gültige valide
umbenannt rebaptisé
truppen troupes
norwegen norvège
k k
auer muller
zerstörungen destructions
channel channel
dekret décret
druck pression
your your
dichterin poétesse
geblieben resté
ostsee baltique
kapital capital
unterschiedlich différemment
food food
soziale sociale
making making
titeln titres
wüste désert
man on
rocky rocky
stationen stations
begleiten accompagner
national national
zentral central
alternative alternative
vorsitz présidée
portland portland
verfügt dispose
konventionen conventions
angriffe attaques
experimente expériences
hingewiesen expliqué
irische irlandaise
hügel colline
aufgefordert demandant
insbesondere particulier
vorzunehmen procéder
game game
musikern musiciens
ausstellungen expositions
krieg guerre
klammern parenthèses
produzieren produire
produzent producteur
neuseeland zélande
flight flight
gelang réussit
aussprache prononciation
provinz province
titelverteidiger incline
lektüre lecture
kontrolliert contrôlé
hinweg travers
cs cs
einfachen simples
biologe biologiste
beginnen commencer
administrator administrateur
stabil stable
ausgesprochen prononcé
usa unis
schwarzer noir
befreiung libérée
problemen problèmes
mitunter parfois
drogen drogues
voice voice
erhöhen augmenter
tempo tempo
aluminium aluminium
himmelfahrt nativité
power power
gesamtfläche superficie
amerikanisch américano
hamilton hamilton
fritz fritz
platziert placé
neapel naples
storm storm
gelbe jaune
frucht fruit
josef joseph
interessant intéressant
claudio claudio
title title
aviv aviv
ergänzung complétée
touch touch
hindernis obstacle
dimensionen dimensions
geburtsort naissance
profi professionnel
möglichen possibles
rd df
gelegene situé
sexuelle sexuelles
auswahl sélection
story story
mechanismen mécanismes
legte fit
vicente vicente
juliane sophie
sämtlichen tous
fotograf photographe
pferde chevaux
ziehen pousser
gehörende appartenant
vertrauen confiance
unruhen émeutes
santa santa
darwin darwin
nur seulement
dylan dylan
zehn dix
karte carte
brechen briser
mangels faute
stammende originaire
regierung gouvernement
ad ad
warschau varsovie
ethnischen ethniques
sozialdemokraten socialistes
kamm gorge
nacht nuit
entscheidenden décisif
download téléchargement
unabhängigen indépendants
beschleunigung accélération
gleichgewicht équilibre
tanz danse
allee allée
frauen femmes
jason jason
asche cendres
nova nova
minimum minimal
strafrecht pénal
flugzeugen avions
göttin déesse
ähnlichkeit ressemblance
punkt point
geruch odeur
literarische littéraire
verschaffen profiter
wort mot
münchen munich
endlich fini
begriffsklärung homonymie
jose jose
id id
hauptfigur personnage
bis jusqu
"  »
audio audio
perry perry
juden juifs
intel intel
diagnose diagnostic
explizit explicitement
psychiatrie psychiatrie
mathilde mathilde
singh singh
langen longs
austragung disputée
apotheker pharmacien
westminster westminster
nationaltrainer sélectionneur
sultan sultan
galerien galeries
het het
konferenz conférence
hardcore hardcore
freundschaftsspiel amical
frequenzen fréquences
erhielt reçut
bremsen freins
mount mount
code code
wehrmacht wehrmacht
has has
norm norme
handeln agir
parlaments parlement
zensur censure
wahr assume
bezeichnungen appellations
langsam lentement
brauerei brasserie
shi shi
lehrer enseignant
partner partenaire
propheten prophète
vorgestellt présenté
extrem extrêmement
ausgezeichnet récompensé
ernannt nommé
geometrie géométrie
bezeichnet désigne
schleife boucle
bradley bradley
hört entend
wright wright
schwangerschaft grossesse
marion marion
people people
verboten interdit
library library
funktioniert fonctionne
building building
bestätigt confirmé
frühling printemps
dana dana
mar mar
liu liu
periode période
sea sea
neue nouvelles
nowgorod novgorod
glocke cloche
hassan hassan
bonus bonus
verursachte causant
center center
tschechische tchèque
geschrieben écrit
sony sony
grau gris
}}} }}}
klosterkirche abbatiale
duo duo
verwendet utilisé
murphy murphy
verfügbaren disponibles
sie elle
beschreibungen descriptions
trilogie trilogie
scott scott
children children
präsidentin présidente
kid kid
astronomie astronomie
kalten froide
rio rio
streckenabschnitt tronçon
°c °c
general general
situation situation
verleger éditeur
fish fish
motivation motivation
welt monde
ästhetik esthétique
kürzlich récemment
zucker sucre
wasserstoff hydrogène
serie série
abstammung ascendance
pädagoge pédagogue
kreta crète
unterirdischen souterrains
hälfte moitié
position position
protagonisten protagonistes
arbeitslosigkeit chômage
brasilianischer brésilien
menschheit humanité
douglas douglas
evans evans
neunte douzième
maschinen machines
festival festival
kongresses congrès
satelliten satellites
beverly beverly
komponenten composants
china chine
kings kings
biografien biographies
shorts short
plaza plaza
ibn ibn
jay jay
century century
artikel article
cricket cricket
variante variante
ungarn hongrie
haaren barbe
arkansas arkansas
google google
sport sport
niedergang déclin
rücken dos
fassaden façades
verschwörung conspiration
series series
linda linda
light light
fisch poisson
glauben croyant
einbezogen évalué
schulter épaule
zufällig hasard
we we
neuere récentes
stub ébauche
miles miles
cello violoncelle
mausoleum mausolée
abenteuer aventures
gerhard gerhard
bin suis
gelesen lu
rita rita
schwierigen difficiles
jacobs jacobs
haut peau
morgens matin
bezeichnen désignent
toleranz tolérance
han han
tell tell
wayne wayne
stand aube
bosch bosch
dann enfin
sowas truc
phänomen phénomène
artikeln articles
ec ec
sarajevo sarajevo
community community
reife maturité
variable variable
fahrzeugen véhicules
gegen contre
grönland groenland
puerto puerto
kräfte forces
mitteln moyens
christine christine
sky sky
astronom astronome
bay bay
künftig dorénavant
zelle cellule
konflikt conflit
sektor secteur
kapazität capacité
beidseitig extrémités
south south
master master
mittelpunkt centrée
geschützte protégée
außerhalb dehors
jessica jessica
statue statue
nähe proximité
alba alba
johannes johannes
kabarettist humoriste
strategischen stratégiques
langhaus nef
ray ray
polen pologne
cross cross
reporter reporter
konzession concession
ibrahim ibrahim
pakistan pakistan
allzu trop
lettland lettonie
proben échantillons
erneut foulée
siebenbürgen transylvanie
stärkung renforcement
potentielle potentielle
zwischen entre
wrestler catcheur
stuhl chaise
susan natalie
kraft vigueur
innern intérieur
isabel isabel
flugzeug avion
spannungen tensions
ecke coin
niveau niveau
ew es
typischen typiques
botaniker botaniste
hinterlassen laissé
botschaft ambassade
allenfalls voire
präzise précis
mähren moravie
farbe couleur
kindern enfants
tendenz tendance
country country
essen bouillon
apostel apôtres
regen pluie
forum forum
befindet trouve
muhammad muhammad
reiter cavalier
salon salon
atlas atlas
hafen port
come come
trinken boire
trans trans
klaus klaus
beobachtet observé
from from
wand mur
konzentrieren concentrer
powell powell
sklaven esclaves
drehbuchautor scénariste
vorgeworfen dénoncé
weißen blancs
some some
bus bus
ausdrücke expressions
badminton badminton
australien australie
eduardo eduardo
geschlagen battu
veröffentlicht publié
lesen lire
riga riga
oft souvent
italia italia
key key
zugehörige incluse
side side
scottish scottish
weisheit sagesse
selbstverständlich forcément
geistlichen laïcs
mitgliedern membres
aussehen apparence
wettbewerben compétitions
täter meurtrier
auch aussi
brothers brothers
norton norton
seien soient
rote rouge
clark clark
problematik problématique
re re
sahara sahara
nebenfluss affluent
regionen régions
frederick frederick
helligkeit luminosité
optimierung optimisation
dublin dublin
ernähren nourrir
schnee neige
anwendungen applications
vegas vegas
halbinsel péninsule
five five
don don
elektrischen électriques
instanz instance
ahmed ahmed
retten sauver
wodurch donnant
dimension dimension
betrieben exploité
oder ou
römern romains
tennessee tennessee
unterschiede différences
reichtum richesse
kulturelle culturelle
zyklus cycle
ihre leur
lokal localement
mythen mythes
kim kim
böden sols
beschloss décida
schiedsrichter arbitre
benedikt benoît
konzipiert conçu
luis luis
junioren juniors
stabilität stabilité
bukarest bucarest
deportation déportation
nee dis
versuchte tenta
bratislava bratislava
oben dessus
publikation publication
befasst relatifs
maler peintre
gegenüber vis
bezogen donné
missouri missouri
matthew matthew
dresden dresde
seltene rare
bush bush
transparent transparent
beste meilleure
inflation inflation
transportieren transporter
musik musique
bedeckt recouvert
vision vision
romantik romantisme
wasser eau
notwendige nécessaire
individuum individu
tendenzen tendances
medizinischen médicaux
realismus réalisme
fertigstellung achèvement
entwickelte développa
effektiv efficacement
hubschrauber hélicoptère
awards awards
janeiro janeiro
reichstag diète
rothschild rothschild
queens queens
shuttle navette
eva eva
erinnerung souvenir
hoher haute
vermittlung médiation
pop pop
acht huit
ähnlich similaire
modern modern
van van
saga saga
nissan nissan
ausnahme exception
santiago santiago
gegner adversaires
lenin lénine
verfügbar disponible
singen chanter
verfilmt coécrit
absturz crash
america america
entdeckte découvrit
burke burke
performance performance
anfrage requête
erwähnte mentionne
batterien batteries
sängerin chanteuse
produkten produits
hättest aurais
tier animal
sonntag dimanche
qualifikation qualification
kult culte
helga petra
verstoß violation
milliarden milliards
seltsame étrange
zustimmung approbation
christentum christianisme
ger ger
freiheit liberté
smith smith
hätte pu
begonnen débuté
romanischen romane
positionen positions
railway railway
period period
kürzere courtes
kennedy kennedy
radikale radicale
leitete dirigea
etwa environ
festgestellt constaté
! !
leopold léopold
ron ron
benennen nommer
gute excellente
con con
mine mine
stuart stuart
juli mai
ei œuf
kann peut
umstände circonstances
database database
uk uk
geworden devenu
fleisch viande
bühne scène
about about
springs springs
physiker physicien
komponistin compositrice
pedro pedro
reichweite portée
soldaten soldats
prinz prince
dynamische dynamique
major major
jerusalem jérusalem
alpen alpes
begrenzten limités
rücktritt démission
online online
hotels hôtels
willy willy
gray gray
bologna bologne
km/h km/h
informatik informatique
erstbeschreibung espèce
magie magie
behauptet prétend
ausrichtung orientation
do do
tötet tue
sam sam
ereignis évènement
patriarch patriarche
meisten plupart
circuit circuit
kroatische croate
beginn début
erwin gaston
° °
gearbeitet travaillé
aspekten aspects
während durant
getragen porté
gewordenen devenus
racing racing
vögel oiseaux
skulptur sculpture
begrenzung limite
japan japon
baum arbre
eigene propre
work work
verliert perd
kap cap
jugoslawien yougoslavie
lebte vécut
ideal idéal
gelangte passa
freies libre
other other
verwaltungseinheit subdivision
konkurrenz concurrence
sorgt apporte
heftig violemment
catholic catholic
auf sur
kv kv
spencer spencer
nahe proche
international international
mentor mentor
kirchturm clocher
mensch humain
ho ho
galaxie galaxie
another another
brigadegeneral brigadier
akzeptiert accepté
// //
touristen touristes
lieben aimer
ru ru
versuchen tenter
proceedings proceedings
ghost ghost
entertainment entertainment
radrennfahrer coureur
erwerb acquisition
ii ii
originalen originaux
pierre giorgio
para para
einzige seule
high high
lebten vivaient
titus titus
antenne antenne
bänden volumes
angriff attaque
schätze trésors
prosa prose
gabriele corinne
energien énergies
los los
harvard harvard
beginnend commençant
datei fichier
gedenkstätte mémorial
kirchen églises
ibm ibm
entstanden créées
atlético atlético
marathon marathon
initiativen initiatives
banner bannière
studios studios
anti anti
ländlichen ruraux
trinity trinity
nische niche
kontrolle contrôle
border border
gefangenschaft captivité
northern northern
pflanzen plantes
konstantinopel constantinople
dialog dialogue
entwicklungen évolutions
sexualität sexualité
kandidaten candidats
enthielt contenait
instrumenten instruments
affen singes
musikalische musicale
ortschaft localité
ming ming
könig roi
schönsten belles
enrique enrique
verurteilt condamné
idaho idaho
survey survey
athletic athletic
minnesota minnesota
ny ny
japanischen japonaise
nepal népal
rebellen rebelles
cinema cinema
gesungen chanté
tommy tommy
betreibt exploite
teresa teresa
australia australia
fernsehserien télévisées
entscheidungen décisions
wenn sinon
rotterdam rotterdam
keramik céramique
landwirtschaft agriculture
karibik caraïbes
künstlerischen artistiques
rodríguez rodríguez
aufhebung rétablissement
nina nina
cincinnati cincinnati
münster aix
terminal terminal
henrik henrik
doktor docteur
frist délai
befehlshaber commandant
privaten privés
steiermark vaud
simulation simulation
haus maison
warren warren
signal signal
energie énergie
brooklyn brooklyn
übersetzt traduit
lernt apprennent
bodo florian
jennifer jennifer
stories stories
cousin cousin
ethnische ethnique
irischen irlandais
herzöge ducs
kong kong
lyrik poésie
lizenzen licences
lloyd lloyd
xx xx
daten données
prinzessin princesse
eng étroitement
akt acte
demokraten démocrates
chaos chaos
zero zero
nichts rien
dance dance
angegeben indiqué
miss miss
pferd cheval
division division
sul sul
tiefen profond
residenz résidence
weltkrieg mondiale
gerard gerard
anweisungen instructions
berges montagne
aufenthalt séjour
masters masters
einzel individuel
museo museo
grabungen fouilles
vila vila
offenkundig manifestement
natur nature
fast presque
patricia audrey
schlange serpent
schottland écosse
kleidung vêtements
bottom bottom
umfrage sondage
ga ga
philipp philippe
disney disney
verurteilte condamne
java java
anonyme anonyme
oliver oliver
verteilung répartition
wall wall
dynamo dynamo
entführung enlèvement
vampire vampire
beinhalten comporter
örtlichen locaux
ähneln ressemblent
zugunsten profit
beschriebenen décrits
fan fan
look look
magdalena magdalena
kennengelernt rencontré
emily emily
finanzieren financer
flotte flotte
inside inside
geöffnet ouvert
ukrainischer ukrainien
händler commerçant
via via
virus virus
einhaltung conformité
bilden forment
darzustellen montrer
datum date
yang yang
francisco francisco
frieden paix
musikvideo clip
park park
offiziellen officiels
aufständischen insurgés
indianapolis indianapolis
wunder miracle
werke œuvres
zeigen montrent
dachte pensé
porsche porsche
clans clans
view view
verkörpert incarne
best best
kriterien critères
wärme chaleur
befassen sujets
zukünftige futures
universitäten universités
schallplatten disques
johnny johnny
against against
adenauer mitterrand
gewählt élu
offenbar apparemment
bestimmung détermination
afrikanischen africains
umwandlung transformée
reichs reich
verwendeten utilisés
sich se
ausland étranger
region région
lokale local
ford ford
industrie industrie
partnern partenaires
padding padding
erklärung explication
chemie chimie
stern étoile
versetzt affecté
nm nm
klassifikation classification
kroatien croatie
book book
nationalen nationaux
preußens prusse
lebensmitteln aliments
number number
roosevelt roosevelt
dead dead
castro castro
for for
installation installation
gelingt réussissent
em em
ea ea
absolute absolue
christoph françois
stattfand déroulée
gene gene
schweden suède
büro bureau
ivan ivan
early early
abschließend préalablement
interviews interviews
w w
verstecken cacher
zuweilen quelquefois
zweite deuxième
unterstand dépendait
ermöglichte permit
norwegische norvégienne
friends friends
flying flying
jurist juriste
nationen nations
umgekehrt inversement
dichter poète
englischen anglais
luna luna
wiederherzustellen rétablir
maske masque
theologische théologique
jr jr
markieren marquer
saarlandes sarre
peking pékin
geologische géologique
offiziell officiellement
neo neo
unterworfen soumis
leone leone
hersteller fabricant
sobald lorsque
irish irish
ruhm gloire
beschädigt endommagé
seattle seattle
geschmack goût
restaurierung restaurée
mg mg
mutter mère
information information
letzter ème
genommen pris
blog blog
gefolgt suivis
vater père
allem surtout
angaben fournies
liest lisant
bauern paysans
schützt protège
shift shift
bulgarische bulgare
ik ik
norfolk norfolk
arnold arnold
square square
verweigert refuse
bekämpfen lutter
vorstellen imaginer
afrikanische africaines
santo santo
schätzungen estimations
spezifische spécifique
öffentlich public
hc hc
security security
syrien syrie
wartet attend
gelten considérées
ringe anneaux
füßen pieds
finanziert financé
ross ross
runde tour
iron iron
flächen surfaces
weil parce
crazy crazy
gestattet autorisé
seltenen rares
anderson anderson
stop stop
sweet sweet
doctor doctor
perspektive perspective
axel axel
manuel manuel
dreharbeiten tournage
jpg jpg
two two
geographie géographie
referenzen références
helfen aider
río río
augusta augusta
jeffrey jeffrey
universal universal
adjektiv adjectif
wäre serait
landet arrive
verstärken renforcer
bilanz bilan
angekündigt annoncé
diana diane
ressourcen ressources
william william
mother mother
royal royal
