hizo machte
tango tango
soul soul
fabricado hergestellt
aves vögel
casarse heiraten
federation federation
esperando rechtzeitig
kingdom kingdom
cadáver leiche
datos daten
paréntesis klammern
votación abstimmung
muhammad muhammad
detalle detail
autónomas länder
pilotos piloten
enfermo krank
llama heißt
conduce führt
poseían besaßen
iluminación beleuchtung
comandante befehlshaber
comienza beginnt
jerarquía hierarchie
previsto vorgesehen
between between
rapero rapper
score score
comprado gekauft
cruce kreuzung
debate debatte
toneladas tonnen
islámica islamischen
trilogía trilogie
valoración bewertung
oscuros dunklen
b a
efecto effekt
estaban waren
logo logo
namibia namibia
elevó erhob
marcar markieren
cornell cornell
johnny johnny
tema thema
estrictamente strikt
abril november
child child
royal royal
jugador spieler
dana dana
corea südkorea
formales formalen
defensor verteidiger
low low
defensa verteidigung
respuesta antwort
liu liu
cs cs
hogares haushalten
redactor redakteur
gatos katzen
rasgos merkmalen
venecia venedig
excepciones ausnahmen
tomos bänden
protestantes protestanten
islam islam
barítono bariton
entrevista interview
ascenso aufstieg
nominaciones nominierungen
trataba handelte
huellas spuren
aceptación akzeptanz
stars stars
institución institution
intentar versuchen
ken ken
innovación innovation
johan johan
rotación rotation
revolución revolution
varias mehrere
tales beispielsweise
armstrong armstrong
relaciones beziehungen
cruz kreuz
teólogos theologen
incluso sogar
presentó präsentierte
hill hill
académicos akademischen
praga prag
jacques jacques
energías energien
photo photo
carbón kohle
tendencias tendenzen
disc disc
into into
mediano mittlerer
nepal nepal
pardo braun
peñarol oberliga
experto experte
olas wellen
international international
ingresó trat
impulso impulse
cuchillo messer
conforme entsprechend
ontario ontario
le ans
té tee
previo vorherige
leona sierra
microsoft microsoft
olga olga
desarrollado entwickelt
poco wenig
» „
tortura folter
wimbledon wimbledon
lu lu
sucesivamente nacheinander
dream dream
works works
estimaciones schätzungen
muerto tot
children children
voluntarios freiwilligen
dinámica dynamik
annie annie
paradas haltestellen
intensidad intensität
beatles beatles
werner köhler
recogido aufgelegt
perseguir verfolgen
iron iron
extendido verbreitet
alex alex
pole pole
asesinados ermordeten
jurista jurist
bailar tanzen
monjes mönche
islámico islamische
jeanne jeanne
ou ou
vermont vermont
forever forever
toscana toskana
comedia komödie
estudiantes studenten
brillo helligkeit
tanto gleichermaßen
numerosos zahlreichen
diámetro durchmesser
wagner wagner
vegetación vegetation
patentes patente
belgrado belgrad
proteínas proteine
usuario benutzer
alma seele
danny danny
diferenciación differenzierung
inicialmente anfänglich
you you
clínico klinische
véase siehe
gramos gramm
disposición anordnung
ayudar helfen
mecánicos mechanischen
tantos wenigsten
yardas yards
persecución verfolgung
mi mein
vicepresidente vizepräsident
subterráneos unterirdischen
claramente eindeutig
stefano stefano
woods woods
checa tschechische
isla insel
lane lane
fotos fotos
perdidas verlorene
árbol baum
preparación vorbereitung
poseen besitzen
invitado eingeladen
toronto toronto
ejemplo beispiel
claro weiß
feudo fehde
listo fertig
mg mg
estambul istanbul
seguidamente anschließend
acompañar begleiten
player player
hop hip
boris viktor
choice choice
primer erste
otras andere
democrático demokratische
snow snow
profeta propheten
validez gültigkeit
island island
los den
freedom freedom
interpretación interpretation
keith brian
story story
vez einmal
box box
duquesa herzogin
pie fuß
title •
culture culture
human human
cuarenta vierzig
paulo paulo
embajador botschafter
abu abu
alliance alliance
calais calais
grey grey
consumo konsum
denominado sogenannte
nicolas nicolas
igual genauso
psicoanálisis psychoanalyse
guarnición garnison
ábside apsis
musical musikalische
países ländern
amazon amazon
far far
traer bringen
mueve bewegt
aquella jener
boys boys
borrar löschen
revista zeitschrift
mesa tisch
alexandra alexandra
pérdida verlust
motor motor
procesos prozessen
periódico zeitung
feat feat
melodía melodie
xavier xavier
company company
regresó kehrte
bolonia bologna
mercurio merkur
utilizan eignen
allmusic allmusic
otorgó vergab
grandes großen
asistentes anwesenden
metropolitan metropolitan
vol vol
play play
teórica theoretische
contenido inhalt
oportunidades chancen
complicado kompliziert
identificar identifizieren
bruno bruno
pour pour
lord lord
thomas thomas
criterios kriterien
quemado verbrannt
predio grundstück
actuado aufgetreten
astrónomos astronomen
canción lied
alejandría alexandria
rugby rugby
disputó bestritt
sector sektor
hasta bis
encarcelado inhaftiert
management management
quería wollte
electro elektro
unieron schlossen
cátedra lehrstuhl
encargo auftrag
embarazo schwangerschaft
rendición kapitulation
just just
liberación befreiung
literature literature
logística logistik
cumplió erfüllte
cálculos berechnungen
virtuales virtuellen
period period
airways airways
diputados landtag
vídeos videos
deux deux
influencias einflüsse
madrileña münchener
algoritmo algorithmus
copenhague kopenhagen
anfitrión gastgeber
dragón drachen
chileno österreichischer
ligera leichte
quinto fünften
libro buch
pasa passiert
comunista kommunistischen
precedido folgen
encontrar finden
end end
empate elfmeterschießen
odio hass
sino sondern
carlota eleonore
wikipedia wikipedia
victor victor
fundador gründer
ponen legen
palmer palmer
verdadero wahre
poema gedicht
crianza zucht
tradicionalmente traditionell
reducción reduzierung
jennifer jennifer
victoria sieg
confirmación bestätigung
eléctricos elektrischen
próxima nächste
largos langen
complejos komplexen
head head
sony sony
reliquias reliquien
conservatorio konservatorium
pequeñas kleinere
moral moral
corriente strömung
lenin lenin
dependiendo abhängig
vendió verkaufte
cia cia
niebla nebel
lados beidseitig
locomotoras lokomotiven
logra schafft
raymond raymond
restaurar wiederherzustellen
god god
ltd ltd
teatro theater
joshua joshua
prototipo prototyp
territorio territorium
revisión überarbeitung
luz licht
mecanismo mechanismus
otorga verleiht
cercanos nahen
moneda münze
hebrea hebräischen
cúpula kuppel
prosa prosa
provenza provence
flecha pfeil
leopoldo leopold
personal persönliche
completado fertiggestellt
zelanda neuseeland
profundos tiefen
mijaíl michail
localidad ortschaft
filas reihen
limitación beschränkung
ganó gewann
intenciones absichten
trabajo arbeit
neutral neutral
participación beteiligung
foro forum
conferencias konferenzen
orleans orleans
veo sehe
dama dame
business business
xvii jahrhundert
maldición fluch
tradiciones traditionen
estratégicos strategischen
aux aux
inclinación neigung
suprimido aufgehoben
pp pp
silver silver
lineal lineare
anales annalen
chelsea chelsea
orquesta orchester
factores faktoren
senadores senatoren
afluente nebenfluss
ojo auge
theory theory
doble doppelte
costó kostete
colecciones sammlungen
país landes
jordan jordan
african african
dejan fallen
israelí israelische
atribuido zugeschrieben
motors motors
emmy emmy
nathan nathan
imdb imdb
mis deine
ilustrado illustriert
svg svg
normales normalen
sábado samstag
estadisticaetiqueta runs
emil emil
teorías theorien
filipinas philippinen
football football
eugene eugene
participar teilzunehmen
actor schauspieler
league league
moon moon
chinos chinesen
estricta strenge
compone besteht
apostólico apostolischer
universidad universität
comunidades gemeinschaften
correcto korrekte
perteneció gehörte
ten ten
video video
manhattan manhattan
black black
cirujano chirurg
asteroides asteroiden
sicilia sizilien
singapur singapur
nu nu
estatua statue
basada basiert
abre öffnet
sindicatos gewerkschaften
candidatura kandidatur
exterior innen
célula zelle
informado mitgeteilt
demanda nachfrage
san st
respeto respekt
quizá wohl
justice justice
robado gestohlen
debajo unterhalb
empresario unternehmer
lógica logik
ch ch
tomo handbuch
periodistas journalisten
colección sammlung
double double
mundos welten
ecuador kreises
suponer auszugehen
highway highway
colapso zusammenbruch
chip chip
montana montana
colaborando engagiert
descubrimiento entdeckung
bell bell
sudeste südost
inglesa englische
biografía biographie
dedica widmet
tracks tracks
coordenadas koordinaten
jessica jessica
deberes pflichten
spin spin
murieron starben
debieron mussten
lou lou
demandas forderungen
menudo oft
torneo turnier
limitaciones einschränkungen
cerrado geschlossen
trío trio
verdes grünen
revolucionarios revolutionären
explicar erklären
£ £
nombramiento ernennung
variante variante
tercera dritte
return return
piedras steine
hundido versenkt
png png
creció wuchs
desambiguacion erl
raros seltenen
diferencia unterschied
nantes nantes
horas stunden
northern northern
rights rights
hombre mensch
actividades aktivitäten
abuso missbrauch
estudiado erforscht
axel axel
comenzar beginnen
canal kanal
atletismo leichtathletik
combatió kämpfte
docena dutzend
ºc °c
salto sprung
edge edge
producciones produktionen
viuda witwe
estratégico strategische
propietario eigentümer
inventado erfunden
simple einfache
imperio reiches
apóstoles apostel
alfred alfred
picture picture
conmemoración jahrestag
house house
preparativos vorbereitungen
partir schrittweise
conectar verbinden
debutó debütierte
heritage heritage
green green
cargo posten
confirmar bestätigen
junto gemeinsam
organizados organisierten
sahara sahara
perspectiva perspektive
palazzo palazzo
absolutamente absolut
franquicia franchise
religiosos religiösen
dueto duett
muere stirbt
real königlichen
cerveza bier
artificial künstliche
numerosas zahlreiche
banco bank
violinista violinist
disuelto aufgelöst
making making
baloncestista eishockeyspieler
pabellón pavillon
rumanía rumänien
finaliza endet
dorothy dorothy
exitoso erfolgreiche
varsovia warschau
computación informatik
aplicación anwendung
específicos spezifischen
world world
testigo zeuge
propuesto vorgeschlagen
usual übliche
descendientes nachfahren
desaparecer verschwinden
documentado dokumentiert
palermo palermo
creó geschaffene
implementación implementierung
permaneció verblieb
animation animation
intel intel
nintendo nintendo
johnson johnson
diseñó entwarf
state state
harrison harrison
base basis
françois françois
apellido nachnamen
dice sagt
t t
hunt hunt
permite ermöglicht
informático informatiker
comisión kommission
bahía bucht
exposiciones ausstellungen
editar editieren
sobrenombre beinamen
herramienta werkzeug
barco schiff
jean jean
una eine
fachadas fassaden
entre zwischen
artículo artikel
com com
autoridades behörden
desemboca mündet
ámsterdam amsterdam
antemano vorab
elizabeth elizabeth
pt pt
ambos beide
enviado geschickt
disciplinas disziplinen
cbs cbs
presentan treten
rcn swr
resultaba erwies
iniciativa initiative
winston winston
queensland queensland
graham graham
– –
lingüística sprachwissenschaft
emperador kaisers
comenzando beginnend
inversiones investitionen
describió beschrieb
et et
raíces wurzeln
línea linie
states states
area area
discografía diskografie
estadounidenses amerikaner
conservó behielt
abandona verlässt
march march
cédula amtliche
mother mother
videojuego computerspiel
cámara kammer
sueco schwedischer
estadounidense us
arsenal arsenal
dieciséis dreizehn
leipzig leipzig
eeuu usa
western western
lotus lotus
colores farben
short short
kill kill
alimento nahrung
privilegios privilegien
raras seltene
competiciones wettbewerbe
donna donna
pide bittet
nuestros unserer
re re
adaptación adaption
shows shows
espina kiefer
importa egal
ocasiones mehrmals
conde graf
fotografía fotografie
castle castle
game game
marcha marsch
síndrome syndrom
dijo sagte
madres mütter
luisa wilhelmine
recientemente kürzlich
regalo geschenk
liberty liberty
griegos griechen
fuego feuer
monje mönch
funcionarios beamten
style style
especiales spezielle
explicaciones erklärungen
minnesota minnesota
born born
industria industrie
historia geschichte
revistas zeitschriften
temporadas spielzeiten
merece verdient
salió landete
fecha datum
tree tree
publicación publikation
work work
casas häuser
árboles bäumen
juventud jugend
copiar kopieren
ocurrió ereignete
dias ew
construye baut
informar informieren
personales persönlichen
vestuario kostüme
j j
mantenimiento wartung
abiertas offene
bi bi
habitaban besiedelten
fundamental wesentlicher
pittsburgh pittsburgh
est est
robinson robinson
marcela bettina
escogido ausgewählt
pudiera könne
sant sant
senior senior
son sind
fallecido verstorben
draft draft
technology technology
young young
fine fine
niza nizza
produjo führte
dylan dylan
descrito beschrieben
consorte gemahlin
bit bit
barcelona barcelona
houston houston
iván iwan
cocina küche
raza rasse
storm storm
one one
jugaron spielten
cross cross
sintaxis syntax
planet planet
ejercer ausüben
pasión leidenschaft
desean möchten
paz frieden
ing ing
' '
comienzo beginn
ak ak
evitar vermeiden
brazo arm
deudas schulden
mitad hälfte
alcanzó erreichte
estrenado uraufgeführt
cosas dinge
imperial kaiserlich
facultades fakultäten
ofertas angebote
tours tours
s s
ryan chris
rostro gesicht
ucraniana ukrainischen
championship championship
domina beherrscht
renfe bundesbahn
cantó sang
intención absicht
luxemburgo luxemburg
haciendo gemacht
peso gewicht
textos texten
completamente vollkommen
expediciones expeditionen
mary mary
intensa intensive
malta malta
campo feld
alcanzar erreichen
neo neo
culto kult
culturas kulturen
variados vielfältigen
his his
conectado angeschlossen
pensando überlegt
usados verwendeten
reparación reparatur
filme film
frederick frederick
costumbre brauch
determinados bestimmten
esencialmente gesamtheit
grande groß
mtv mtv
suyos seinen
tuviera gehabt
beach beach
nosotros uns
artillería artillerie
negó weigerte
global global
embargo jedoch
tel tel
summer summer
controlado kontrolliert
frecuentemente häufig
abogado rechtsanwalt
fácilmente problemlos
of of
participado teilgenommen
now now
over over
baptiste baptiste
trabajaban arbeiteten
aerolínea fluggesellschaft
km km
blanco weiße
go go
motion motion
benz benz
esto dies
comprendido gerechnet
iones ionen
presta bedient
bottom bottom
yale yale
zoo zoo
dependencia abhängigkeit
php php
pobladores bewohner
express express
co co
gobierno regierung
que dass
radicales radikalen
condenado verurteilt
alemana deutsche
samuel samuel
nico nico
duelo duell
ópera oper
repetidas wiederholt
parte teil
network network
casó heiratete
fomentar fördern
bailarina tänzerin
www www
r r
cabeza kopf
devil devil
control kontrolle
pelo haare
exportación export
culpa schuld
enorme enorme
bon bon
ciudades städte
agentes agenten
enfermedad krankheit
md md
evans evans
adolfo erich
iglesia kirche
para für
mostrar darzustellen
mia mia
apache apache
egipto ägypten
asignado zugeteilt
docencia lehrtätigkeit
adquirido erworben
dominique dominique
ventas verkaufszahlen
teléfono telefon
controversia kontroverse
rich rich
mismos denselben
brasileña brasilianische
específica spezifische
lucia lucia
definición definition
hotel hotel
existencia existenz
sustancia substanz
malcolm malcolm
último letzte
homo homo
davies davies
edward edward
hansen hansen
sacerdote priester
dirigida regie
propuesta vorschlag
corrección korrektur
vancouver vancouver
ahmed ahmed
caballero ritter
claros klaren
sudamérica südamerika
suite suite
patronato trägerschaft
derrotado besiegt
agencia agentur
dei dei
independent independent
motivación motivation
birds birds
ciudadanos bürgern
servidor server
arthur arthur
escribir schreiben
atlas atlas
galardonado ausgezeichnet
tolerancia toleranz
muestra zeigt
della della
hd hd
mac mac
alpha alpha
denomina bezeichnet
aluminio aluminium
naturalista naturforscher
elección wahl
blue blue
six six
number number
tres drei
añadido hinzugefügt
llevaban trugen
ganancias gewinne
fase phase
dead dead
fundaron gründeten
localidades orte
orlando orlando
argentinas berlins
multi multi
coloración färbung
porto porto
sujeto subjekt
celebrar feiern
adn dna
fachada fassade
benjamín moritz
condes grafen
mayoritariamente überwiegende
sustancias substanzen
realización durchführung
encontraba befand
sátira satire
people people
diecisiete fünfzehn
woman woman
construidos gebauten
búlgaro bulgarischer
altitud meeresspiegel
griega griechischen
derrota niederlage
laurent laurent
nat nat
participó teilnahm
wta wta
mobile mobile
mandato amtszeit
tommy tommy
arkansas arkansas
raramente selten
líneas linien
te ach
milán mailand
bus bus
search search
casado verheiratet
dices tja
press press
mason mason
aún noch
versión version
paraíso paradies
históricos historischen
ko ko
justin justin
parma parma
lucas lucas
paper paper
ligeramente leicht
aislado isoliert
requerido erforderliche
mail mail
circunstancias umstände
hitler hitler
dimisión rücktritt
enrico enrico
parís paris
útil nützlich
flandes flandern
pueden können
capacidad kapazität
privados privaten
soldados soldaten
ortodoxa orthodoxen
software software
catolicismo katholizismus
trail trail
critica kritische
persia persien
liverpool liverpool
extra extra
orden ordens
escocia schottland
significa bedeutet
some some
químicos chemischen
anita anita
rosa rosa
adjetivo adjektiv
jane jane
llamó nannte
secreto geheim
nielsen nielsen
socialismo sozialismus
destaca hervorzuheben
thompson thompson
anti anti
plomo blei
bio bio
five five
award award
years years
adversario gegner
premios preisträger
enciclopedia enzyklopädie
government government
actuaba agierte
causas ursachen
coloca drückt
minor minor
cree vermutet
alfabeto alphabet
ligeros leichten
seco trocken
punto punkt
pinturas gemälden
positiva positive
marido ehemann
artículos artikeln
contribuciones beiträge
turistas touristen
débiles schwachen
union union
queso käse
medical medical
o oder
more more
naciones nationen
craig keith
bibliotecas bibliotheken
karl karl
velocidades geschwindigkeiten
matthew matthew
voice voice
astrónomo astronom
ann ann
fabricantes herstellern
super super
guinea guinea
oxford oxford
mon mon
size size
manto mantel
when when
uk uk
source source
christie christie
carácter charakter
entendido verstanden
water water
adicionalmente zusätzlich
normal normal
rutas routen
service service
dañado beschädigt
retirada rückzug
comercialización vermarktung
venció siegte
stalin stalin
seminario seminar
einstein einstein
tribunal gerichtshof
down down
abd abd
piloto pilot
aire luft
dirige wendet
medianoche mitternacht
siguió folgezeit
muerte tod
diaria tägliche
goleador torschützenkönig
archivo datei
define definiert
contemporáneos zeitgenössischen
arte kunst
bull bull
realmente tatsächlich
advertencia warnung
llamaba hieß
knight knight
unix unix
ceo ceo
presentación präsentation
situados liegenden
ingenieros ingenieure
iso iso
derby derby
estrategias strategien
hudson hudson
" "
cable kabel
servicios dienstleistungen
extranjeros ausländischen
ejércitos armeen
bucaramanga reutlingen
asimismo ferner
estuviera gewesen
estatuas statuen
théâtre théâtre
north north
ayer gestern
lost lost
británica britische
presidenta präsidentin
felipe maximilian
romeo romeo
marcus marcus
pacífico pazifischen
fábrica fabrik
conocidos bekannten
otomanos osmanen
checoslovaquia tschechoslowakei
histoire histoire
trabaja arbeitet
posiciones positionen
espero hoffe
aliados verbündeten
diosa göttin
propaganda propaganda
madame madame
omar omar
ideal ideal
eslovaquia slowakei
alias alias
oil oil
pietro pietro
ficción fiction
ascendido befördert
grace grace
resurrección auferstehung
puentes brücken
simon simon
bajar steigen
brunswick brunswick
especial besondere
presenta weist
border border
bertrand bertrand
últimas vergangenen
salt salt
elias elias
empezado angefangen
proteína protein
reportero reporter
pasos schritten
misiones missionen
amalia luise
milagro wunder
future future
it it
francos franken
blood blood
field field
russell wilson
best best
nueve neun
reedición neuauflage
proceso prozess
bosques wäldern
ricky rick
buffalo buffalo
croacia kroatien
mariscal marschall
europeo europäische
manuscritos handschriften
air air
dado gegeben
buscar suchen
postura haltung
enciclopédica enzyklopädische
escritora schriftstellerin
modelo modell
león löwe
protege schützt
madison madison
legend legend
fantasy fantasy
ciudad stadt
perfecto perfekt
antecesor vorgänger
mini mini
álbumes alben
h h
considera gilt
sufría litt
vinos weine
homónima gleichnamigen
estados staaten
esas solche
bombarderos bomber
futuras zukünftige
pacific pacific
gestiona betreibt
anillos ringe
vitamina vitamin
than than
sida aids
ritmo rhythmus
separación trennung
aprueba verabschiedet
facto facto
negros schwarzen
churchill churchill
radio radio
finalizó beendete
conexiones verbindungen
tanque tank
lucha kampf
sé naja
common common
windsor windsor
coche auto
get get
ram ram
mostraron zeigten
uganda uganda
mont mont
toda gesamten
the the
hungría ungarn
refuerzo verstärkung
promovió initiierte
then then
cerdeña sardinien
desapareció verschwand
finalizada beendigung
enemigos feinde
ayuda hilfe
músicos musikern
got got
condesa gräfin
aumentar erhöhen
board board
parker parker
patria vaterland
borrado löschung
instrucciones befehle
site site
fuertes starken
clasifica klassifiziert
denominación bezeichnung
anglo anglo
fisiología physiologie
realizaron fanden
escapar entkommen
fuentes quellen
sistema system
raf raf
característicos typischen
histórico historische
acompañante begleiter
influencia einfluss
dirigente funktionär
aprox ca
washington washington
testamento testament
cereales getreide
contexto kontext
helicóptero hubschrauber
esclavitud sklaverei
finanzas finanzen
internet internet
blues blues
antoine antoine
lectores lesern
disputado ausgetragen
yugoslavia jugoslawien
captain captain
rumano rumänische
infección infektion
che che
springs springs
music music
viceversa umgekehrt
oscuro dunkle
pamplona speyer
orejas ohren
repente plötzlich
montañas berge
davis davis
mostrado gezeigt
leeds leeds
facultad fakultät
abiertos offenen
venezolano hessische
comprar kaufen
g g
ft ft
do do
pintado gemalt
barranquilla ludwigshafen
poner setzen
arriba oben
reyes könige
estatal staatliche
invasión invasion
libros büchern
complejo komplex
cuadrados gesamtfläche
recordings recordings
mamíferos säugetiere
our our
parlamento parlament
relativamente relativ
conflictos konflikten
lluvia regen
condenó verurteilte
íntegramente größtenteils
supuestos angeblichen
tranvía straßenbahn
coordinación koordination
nido nest
rey könig
metro metro
regionales regionalen
masters masters
racing racing
morgan morgan
libremente frei
fauna fauna
registrado registriert
remo ruder
romanticismo romantik
sex sex
collection collection
sexualidad sexualität
aprovecha nutzt
vladimir boris
inauguró eröffnete
hombro schulter
robin robin
hermanas schwestern
unidades einheiten
ion ion
largometraje spielfilm
saxofón saxophon
vidrio glas
dichas derartige
disputar qualifizieren
variar variieren
basura müll
separado getrennt
maya maya
opus opus
estocolmo stockholm
na na
this this
destacan zählen
peligroso gefährlich
page page
sirvió diente
nacho uli
copyright copyright
habilidades fähigkeiten
proyecto projekt
herman herman
agrícolas landwirtschaftlichen
library library
grupos gruppen
variado vielfältig
actriz schauspielerin
aviones flugzeugen
east east
sombra schatten
good good
instituto institut
diariamente täglich
family family
true true
correspondientes entsprechenden
método methode
incluía beinhaltete
nova nova
antiguamente früher
what what
asunto angelegenheit
desambiguación begriffsklärung
urban urban
importante wichtigste
facilita erleichtert
manera weise
particularmente besonders
constantinopla konstantinopel
at at
álbum album
opera opera
parecía schien
peregrinos pilger
pescado fisch
nave schiffs
convirtió avancierte
inglés englisch
senador senator
rouge rouge
c/ str
producción produktion
justicia justiz
publishing publishing
esculturas skulpturen
debe muss
cementerio friedhof
cristianas christliche
homónimo gleichnamige
inventor erfinder
separó trennte
eyes eyes
nasa nasa
incorporan integrierte
facebook facebook
empleo beschäftigung
semanas wochen
light light
open open
sacristía sakristei
ville ville
margaret margaret
pintar malen
entiendo verstehe
paciente patient
da da
fábricas fabriken
ideas ideen
composiciones kompositionen
m² m²
humana menschliche
florida florida
poeta dichter
proveniente stammende
li li
renault renault
química chemie
swing swing
escudo wappen
venganza rache
airlines airlines
disparo schuss
aprender erlernen
luchar kämpfen
alternativas alternativen
expresar ausdrücken
ibn ibn
instrumentos instrumenten
act act
realismo realismus
derrotas niederlagen
about about
músico musiker
llevando voran
miembros mitglieder
curvas kurven
lucky lucky
incorporado integriert
utrecht utrecht
financiación finanzierung
ejercido ausgeübt
altiplano hochland
inusual ungewöhnliche
franklin franklin
encontrados gefundenen
language language
construcción bau
senado senat
herido verwundet
compra verkauf
decano dekan
batalla schlacht
miss miss
c c
desaparece verschwindet
